id,accent
common_voice_en_10047.wav,Africa
common_voice_en_10048.wav,Africa
common_voice_en_10049.wav,Africa
common_voice_en_10050.wav,Africa
common_voice_en_10051.wav,Africa
common_voice_en_10052.wav,Africa
common_voice_en_10053.wav,Africa
common_voice_en_10055.wav,Africa
common_voice_en_10424184.wav,Africa
common_voice_en_10424187.wav,Africa
common_voice_en_105510.wav,Africa
common_voice_en_105511.wav,Africa
common_voice_en_105512.wav,Africa
common_voice_en_105514.wav,Africa
common_voice_en_10799701.wav,Africa
common_voice_en_1100186.wav,Africa
common_voice_en_1100187.wav,Africa
common_voice_en_1100188.wav,Africa
common_voice_en_126863.wav,Africa
common_voice_en_126864.wav,Africa
common_voice_en_128216.wav,Africa
common_voice_en_128221.wav,Africa
common_voice_en_128311.wav,Africa
common_voice_en_128315.wav,Africa
common_voice_en_128316.wav,Africa
common_voice_en_128317.wav,Africa
common_voice_en_128321.wav,Africa
common_voice_en_128322.wav,Africa
common_voice_en_128324.wav,Africa
common_voice_en_128330.wav,Africa
common_voice_en_128332.wav,Africa
common_voice_en_128335.wav,Africa
common_voice_en_128337.wav,Africa
common_voice_en_128340.wav,Africa
common_voice_en_139679.wav,Africa
common_voice_en_139681.wav,Africa
common_voice_en_143968.wav,Africa
common_voice_en_143977.wav,Africa
common_voice_en_143978.wav,Africa
common_voice_en_143995.wav,Africa
common_voice_en_144004.wav,Africa
common_voice_en_144011.wav,Africa
common_voice_en_144013.wav,Africa
common_voice_en_144973.wav,Africa
common_voice_en_148544.wav,Africa
common_voice_en_148548.wav,Africa
common_voice_en_1537587.wav,Africa
common_voice_en_1537590.wav,Africa
common_voice_en_1537599.wav,Africa
common_voice_en_16476119.wav,Africa
common_voice_en_16476121.wav,Africa
common_voice_en_16476130.wav,Africa
common_voice_en_16666075.wav,Africa
common_voice_en_16666077.wav,Africa
common_voice_en_16666084.wav,Africa
common_voice_en_16666093.wav,Africa
common_voice_en_168685.wav,Africa
common_voice_en_168686.wav,Africa
common_voice_en_168688.wav,Africa
common_voice_en_168689.wav,Africa
common_voice_en_168690.wav,Africa
common_voice_en_168720.wav,Africa
common_voice_en_168721.wav,Africa
common_voice_en_168723.wav,Africa
common_voice_en_168728.wav,Africa
common_voice_en_17147782.wav,Africa
common_voice_en_17147784.wav,Africa
common_voice_en_17147786.wav,Africa
common_voice_en_17147788.wav,Africa
common_voice_en_17147791.wav,Africa
common_voice_en_17147796.wav,Africa
common_voice_en_17147797.wav,Africa
common_voice_en_17147807.wav,Africa
common_voice_en_17147812.wav,Africa
common_voice_en_17147814.wav,Africa
common_voice_en_17252531.wav,Africa
common_voice_en_17252555.wav,Africa
common_voice_en_17252559.wav,Africa
common_voice_en_17252926.wav,Africa
common_voice_en_17252928.wav,Africa
common_voice_en_17252931.wav,Africa
common_voice_en_17252935.wav,Africa
common_voice_en_17252936.wav,Africa
common_voice_en_17252937.wav,Africa
common_voice_en_17252939.wav,Africa
common_voice_en_17252940.wav,Africa
common_voice_en_17252941.wav,Africa
common_voice_en_17252946.wav,Africa
common_voice_en_17252953.wav,Africa
common_voice_en_17252956.wav,Africa
common_voice_en_17252959.wav,Africa
common_voice_en_17252965.wav,Africa
common_voice_en_17252967.wav,Africa
common_voice_en_17252968.wav,Africa
common_voice_en_17256473.wav,Africa
common_voice_en_17256477.wav,Africa
common_voice_en_17256479.wav,Africa
common_voice_en_17256487.wav,Africa
common_voice_en_17256497.wav,Africa
common_voice_en_17256498.wav,Africa
common_voice_en_17256503.wav,Africa
common_voice_en_17256508.wav,Africa
common_voice_en_17256512.wav,Africa
common_voice_en_17256515.wav,Africa
common_voice_en_17256518.wav,Africa
common_voice_en_17256520.wav,Africa
common_voice_en_17256527.wav,Africa
common_voice_en_17256529.wav,Africa
common_voice_en_17256530.wav,Africa
common_voice_en_17258928.wav,Africa
common_voice_en_17258929.wav,Africa
common_voice_en_17258930.wav,Africa
common_voice_en_17258931.wav,Africa
common_voice_en_17258932.wav,Africa
common_voice_en_17258933.wav,Africa
common_voice_en_17258935.wav,Africa
common_voice_en_17267859.wav,Africa
common_voice_en_17267860.wav,Africa
common_voice_en_17267861.wav,Africa
common_voice_en_17268536.wav,Africa
common_voice_en_17268537.wav,Africa
common_voice_en_17268538.wav,Africa
common_voice_en_17268539.wav,Africa
common_voice_en_17268540.wav,Africa
common_voice_en_17268543.wav,Africa
common_voice_en_17268544.wav,Africa
common_voice_en_17268546.wav,Africa
common_voice_en_17268547.wav,Africa
common_voice_en_17268548.wav,Africa
common_voice_en_17268550.wav,Africa
common_voice_en_17268556.wav,Africa
common_voice_en_17268557.wav,Africa
common_voice_en_17268560.wav,Africa
common_voice_en_17268561.wav,Africa
common_voice_en_17268562.wav,Africa
common_voice_en_17268564.wav,Africa
common_voice_en_17268565.wav,Africa
common_voice_en_17268566.wav,Africa
common_voice_en_17268567.wav,Africa
common_voice_en_17270689.wav,Africa
common_voice_en_17270690.wav,Africa
common_voice_en_17270692.wav,Africa
common_voice_en_17270693.wav,Africa
common_voice_en_17270697.wav,Africa
common_voice_en_17270698.wav,Africa
common_voice_en_17270699.wav,Africa
common_voice_en_17270700.wav,Africa
common_voice_en_17270703.wav,Africa
common_voice_en_17270705.wav,Africa
common_voice_en_17270706.wav,Africa
common_voice_en_17270707.wav,Africa
common_voice_en_17270708.wav,Africa
